Model,Method,Replicate,RF,FN,FP
1000M1,FastTree (GTR),R17,189.0,0.04707060590886329,0.047547547547547545
1000M1,FastTree (JC),R17,193.0,0.04807210816224337,0.04854854854854855
1000M1,NJ (JC),R17,1805.0,0.4516775162744116,0.4519519519519519
1000M1,NJ (LogDet),R17,1805.0,0.4516775162744116,0.4519519519519519
1000M1,NJ (p-distance),R17,1805.0,0.4516775162744116,0.4519519519519519
1000M1,FastTree (GTR),R0,180.0,0.04504504504504504,0.04504504504504504
1000M1,FastTree (JC),R0,206.0,0.05155155155155155,0.05155155155155155
1000M1,NJ (JC),R0,1802.0,0.45095095095095095,0.45095095095095095
1000M1,NJ (LogDet),R0,1802.0,0.45095095095095095,0.45095095095095095
1000M1,NJ (p-distance),R0,1802.0,0.45095095095095095,0.45095095095095095
1000M1,FastTree (GTR),R7,250.0,0.06168505516549649,0.06356356356356356
1000M1,FastTree (JC),R7,282.0,0.06970912738214644,0.07157157157157157
1000M1,NJ (JC),R7,1884.0,0.47141424272818455,0.4724724724724725
1000M1,NJ (LogDet),R7,1884.0,0.47141424272818455,0.4724724724724725
1000M1,NJ (p-distance),R7,1884.0,0.47141424272818455,0.4724724724724725
1000M1,FastTree (GTR),R10,198.0,0.04864593781344032,0.05055055055055055
1000M1,FastTree (JC),R10,234.0,0.057673019057171516,0.059559559559559556
1000M1,NJ (JC),R10,1822.0,0.45586760280842525,0.456956956956957
1000M1,NJ (LogDet),R10,1822.0,0.45586760280842525,0.456956956956957
1000M1,NJ (p-distance),R10,1822.0,0.45586760280842525,0.456956956956957
1000M1,FastTree (GTR),R3,201.0,0.04962406015037594,0.05105105105105105
1000M1,FastTree (JC),R3,247.0,0.061152882205513785,0.06256256256256257
1000M1,NJ (JC),R3,1871.0,0.4681704260651629,0.46896896896896895
1000M1,NJ (LogDet),R3,1871.0,0.4681704260651629,0.46896896896896895
1000M1,NJ (p-distance),R3,1871.0,0.4681704260651629,0.46896896896896895
1000M1,FastTree (GTR),R9,230.0,0.05711422845691383,0.05805805805805806
1000M1,FastTree (JC),R9,256.0,0.06362725450901803,0.06456456456456457
1000M1,NJ (JC),R9,1836.0,0.4594188376753507,0.45995995995996
1000M1,NJ (LogDet),R9,1836.0,0.4594188376753507,0.45995995995996
1000M1,NJ (p-distance),R9,1836.0,0.4594188376753507,0.45995995995996
1000M1,FastTree (GTR),R14,173.0,0.04352176088044022,0.043043043043043044
1000M1,FastTree (JC),R14,207.0,0.05202601300650325,0.05155155155155155
1000M1,NJ (JC),R14,1825.0,0.45672836418209106,0.45645645645645644
1000M1,NJ (LogDet),R14,1825.0,0.45672836418209106,0.45645645645645644
1000M1,NJ (p-distance),R14,1825.0,0.45672836418209106,0.45645645645645644
1000M1,FastTree (GTR),R19,241.0,0.05964912280701754,0.06106106106106106
1000M1,FastTree (JC),R19,289.0,0.07167919799498747,0.07307307307307308
1000M1,NJ (JC),R19,1811.0,0.4531328320802005,0.45395395395395394
1000M1,NJ (LogDet),R19,1811.0,0.4531328320802005,0.45395395395395394
1000M1,NJ (p-distance),R19,1811.0,0.4531328320802005,0.45395395395395394
1000M1,FastTree (GTR),R13,203.0,0.05102551275637819,0.05055055055055055
1000M1,FastTree (JC),R13,265.0,0.06653326663331666,0.06606606606606606
1000M1,NJ (JC),R13,1875.0,0.46923461730865434,0.46896896896896895
1000M1,NJ (LogDet),R13,1875.0,0.46923461730865434,0.46896896896896895
1000M1,NJ (p-distance),R13,1875.0,0.46923461730865434,0.46896896896896895
1000M1,FastTree (GTR),R4,281.0,0.06924234821876568,0.07157157157157157
1000M1,FastTree (JC),R4,347.0,0.08580030105368791,0.08808808808808809
1000M1,NJ (JC),R4,1909.0,0.47767185148018065,0.47897897897897895
1000M1,NJ (LogDet),R4,1909.0,0.47767185148018065,0.47897897897897895
1000M1,NJ (p-distance),R4,1909.0,0.47767185148018065,0.47897897897897895
1000M1,FastTree (GTR),R6,197.0,0.04862155388471178,0.05005005005005005
1000M1,FastTree (JC),R6,245.0,0.060651629072681706,0.062062062062062065
1000M1,NJ (JC),R6,1879.0,0.47017543859649125,0.47097097097097096
1000M1,NJ (LogDet),R6,1879.0,0.47017543859649125,0.47097097097097096
1000M1,NJ (p-distance),R6,1879.0,0.47017543859649125,0.47097097097097096
1000M1,FastTree (GTR),R11,229.0,0.05664160401002506,0.05805805805805806
1000M1,FastTree (JC),R11,277.0,0.06867167919799498,0.07007007007007007
1000M1,NJ (JC),R11,1833.0,0.45864661654135336,0.4594594594594595
1000M1,NJ (LogDet),R11,1833.0,0.45864661654135336,0.4594594594594595
1000M1,NJ (p-distance),R11,1833.0,0.45864661654135336,0.4594594594594595
1000M1,FastTree (GTR),R16,281.0,0.06967418546365915,0.07107107107107107
1000M1,FastTree (JC),R16,331.0,0.08220551378446116,0.08358358358358359
1000M1,NJ (JC),R16,1837.0,0.45964912280701753,0.46046046046046046
1000M1,NJ (LogDet),R16,1837.0,0.45964912280701753,0.46046046046046046
1000M1,NJ (p-distance),R16,1837.0,0.45964912280701753,0.46046046046046046
1000M1,FastTree (GTR),R1,231.0,0.05669844455594581,0.05905905905905906
1000M1,FastTree (JC),R1,241.0,0.05920722528850978,0.06156156156156156
1000M1,NJ (JC),R1,1839.0,0.46011038635223284,0.46146146146146144
1000M1,NJ (LogDet),R1,1839.0,0.46011038635223284,0.46146146146146144
1000M1,NJ (p-distance),R1,1839.0,0.46011038635223284,0.46146146146146144
1000M1,FastTree (GTR),R12,220.0,0.05460921843687375,0.05555555555555555
1000M1,FastTree (JC),R12,256.0,0.06362725450901803,0.06456456456456457
1000M1,NJ (JC),R12,1844.0,0.46142284569138275,0.461961961961962
1000M1,NJ (LogDet),R12,1844.0,0.46142284569138275,0.461961961961962
1000M1,NJ (p-distance),R12,1844.0,0.46142284569138275,0.461961961961962
1000M1,FastTree (GTR),R18,232.0,0.05717151454363089,0.05905905905905906
1000M1,FastTree (JC),R18,252.0,0.062186559679037114,0.06406406406406406
1000M1,NJ (JC),R18,1878.0,0.4699097291875627,0.47097097097097096
1000M1,NJ (LogDet),R18,1878.0,0.4699097291875627,0.47097097097097096
1000M1,NJ (p-distance),R18,1878.0,0.4699097291875627,0.47097097097097096
1000M1,FastTree (GTR),R5,177.0,0.04360902255639098,0.04504504504504504
1000M1,FastTree (JC),R5,203.0,0.05012531328320802,0.05155155155155155
1000M1,NJ (JC),R5,1871.0,0.4681704260651629,0.46896896896896895
1000M1,NJ (LogDet),R5,1871.0,0.4681704260651629,0.46896896896896895
1000M1,NJ (p-distance),R5,1871.0,0.4681704260651629,0.46896896896896895
1000M1,FastTree (GTR),R8,230.0,0.05667001003009027,0.05855855855855856
1000M1,FastTree (JC),R8,274.0,0.06770310932798396,0.06956956956956957
1000M1,NJ (JC),R8,1764.0,0.44132397191574724,0.44244244244244246
1000M1,NJ (LogDet),R8,1764.0,0.44132397191574724,0.44244244244244246
1000M1,NJ (p-distance),R8,1764.0,0.44132397191574724,0.44244244244244246
1000M1,FastTree (GTR),R2,207.0,0.05112781954887218,0.052552552552552555
1000M1,FastTree (JC),R2,251.0,0.06215538847117794,0.06356356356356356
1000M1,NJ (JC),R2,1815.0,0.45413533834586467,0.45495495495495497
1000M1,NJ (LogDet),R2,1815.0,0.45413533834586467,0.45495495495495497
1000M1,NJ (p-distance),R2,1815.0,0.45413533834586467,0.45495495495495497
1000M1,FastTree (GTR),R15,186.0,0.04609218436873747,0.04704704704704705
1000M1,FastTree (JC),R15,236.0,0.05861723446893788,0.059559559559559556
1000M1,NJ (JC),R15,1860.0,0.4654308617234469,0.46596596596596596
1000M1,NJ (LogDet),R15,1860.0,0.4654308617234469,0.46596596596596596
1000M1,NJ (p-distance),R15,1860.0,0.4654308617234469,0.46596596596596596
1000M4,FastTree (GTR),R6,145.0,0.03230691569914185,0.04054054054054054
1000M4,FastTree (JC),R6,143.0,0.03180212014134275,0.04004004004004004
1000M4,NJ (JC),R6,1355.0,0.3377082281675921,0.3433433433433433
1000M4,NJ (LogDet),R6,1355.0,0.3377082281675921,0.3433433433433433
1000M4,NJ (p-distance),R6,1355.0,0.3377082281675921,0.3433433433433433
1000M4,FastTree (GTR),R16,129.0,0.027314112291350532,0.03753753753753754
1000M4,FastTree (JC),R16,139.0,0.029843196762771876,0.04004004004004004
1000M4,NJ (JC),R16,1017.0,0.251896813353566,0.25975975975975973
1000M4,NJ (LogDet),R16,1017.0,0.251896813353566,0.25975975975975973
1000M4,NJ (p-distance),R16,1017.0,0.251896813353566,0.25975975975975973
1000M4,FastTree (GTR),R11,146.0,0.03279515640766902,0.04054054054054054
1000M4,FastTree (JC),R11,156.0,0.035317860746720484,0.043043043043043044
1000M4,NJ (JC),R11,1314.0,0.3274470232088799,0.3328328328328328
1000M4,NJ (LogDet),R11,1314.0,0.3274470232088799,0.3328328328328328
1000M4,NJ (p-distance),R11,1314.0,0.3274470232088799,0.3328328328328328
1000M4,FastTree (GTR),R1,100.0,0.020222446916076844,0.03003003003003003
1000M4,FastTree (JC),R1,114.0,0.023761375126390292,0.033533533533533534
1000M4,NJ (JC),R1,1116.0,0.2770475227502528,0.28428428428428426
1000M4,NJ (LogDet),R1,1116.0,0.2770475227502528,0.28428428428428426
1000M4,NJ (p-distance),R1,1116.0,0.2770475227502528,0.28428428428428426
1000M4,FastTree (GTR),R5,130.0,0.027805864509605663,0.03753753753753754
1000M4,FastTree (JC),R5,140.0,0.030333670374115267,0.04004004004004004
1000M4,NJ (JC),R5,1264.0,0.31445904954499493,0.3213213213213213
1000M4,NJ (LogDet),R5,1264.0,0.31445904954499493,0.3213213213213213
1000M4,NJ (p-distance),R5,1264.0,0.31445904954499493,0.3213213213213213
1000M4,FastTree (GTR),R15,150.0,0.02906680265170831,0.04656985478217326
1000M4,FastTree (JC),R15,170.0,0.034166241713411524,0.05157736604907361
1000M4,NJ (JC),R15,763.0,0.18510963793982663,0.2002002002002002
1000M4,NJ (LogDet),R15,763.0,0.18510963793982663,0.2002002002002002
1000M4,NJ (p-distance),R15,763.0,0.18510963793982663,0.2002002002002002
1000M4,FastTree (GTR),R18,156.0,0.03248730964467005,0.04604604604604605
1000M4,FastTree (JC),R18,160.0,0.03350253807106599,0.04704704704704705
1000M4,NJ (JC),R18,1338.0,0.33248730964467005,0.34184184184184185
1000M4,NJ (LogDet),R18,1338.0,0.33248730964467005,0.34184184184184185
1000M4,NJ (p-distance),R18,1338.0,0.33248730964467005,0.34184184184184185
1000M4,FastTree (GTR),R12,127.0,0.02920443101711984,0.03455182774161242
1000M4,FastTree (JC),R12,143.0,0.03323262839879154,0.0385578367551327
1000M4,NJ (JC),R12,1232.0,0.3071500503524673,0.3113113113113113
1000M4,NJ (LogDet),R12,1232.0,0.3071500503524673,0.3113113113113113
1000M4,NJ (p-distance),R12,1232.0,0.3071500503524673,0.3113113113113113
1000M4,FastTree (GTR),R8,118.0,0.02620967741935484,0.03303303303303303
1000M4,FastTree (JC),R8,126.0,0.028225806451612902,0.035035035035035036
1000M4,NJ (JC),R8,1216.0,0.3029233870967742,0.3078078078078078
1000M4,NJ (LogDet),R8,1216.0,0.3029233870967742,0.3078078078078078
1000M4,NJ (p-distance),R8,1216.0,0.3029233870967742,0.3078078078078078
1000M4,FastTree (GTR),R2,129.0,0.024427480916030534,0.04054054054054054
1000M4,FastTree (JC),R2,141.0,0.02748091603053435,0.04354354354354354
1000M4,NJ (JC),R2,815.0,0.1989821882951654,0.2122122122122122
1000M4,NJ (LogDet),R2,815.0,0.1989821882951654,0.2122122122122122
1000M4,NJ (p-distance),R2,815.0,0.1989821882951654,0.2122122122122122
1000M4,FastTree (GTR),R0,152.0,0.03194726166328601,0.04454454454454455
1000M4,FastTree (JC),R0,166.0,0.035496957403651115,0.04804804804804805
1000M4,NJ (JC),R0,1178.0,0.2920892494929006,0.3013013013013013
1000M4,NJ (LogDet),R0,1178.0,0.2920892494929006,0.3013013013013013
1000M4,NJ (p-distance),R0,1178.0,0.2920892494929006,0.3013013013013013
1000M4,FastTree (GTR),R10,119.0,0.02574457344775366,0.03403403403403404
1000M4,FastTree (JC),R10,131.0,0.028773346794548207,0.037037037037037035
1000M4,NJ (JC),R10,1411.0,0.3518425037859667,0.35735735735735735
1000M4,NJ (LogDet),R10,1411.0,0.3518425037859667,0.35735735735735735
1000M4,NJ (p-distance),R10,1411.0,0.3518425037859667,0.35735735735735735
1000M4,FastTree (GTR),R17,117.0,0.02523977788995457,0.033533533533533534
1000M4,FastTree (JC),R17,157.0,0.0353356890459364,0.04354354354354354
1000M4,NJ (JC),R17,1141.0,0.28369510348308935,0.2897897897897898
1000M4,NJ (LogDet),R17,1141.0,0.28369510348308935,0.2897897897897898
1000M4,NJ (p-distance),R17,1141.0,0.28369510348308935,0.2897897897897898
1000M4,FastTree (GTR),R7,157.0,0.03486609398686205,0.044044044044044044
1000M4,FastTree (JC),R7,179.0,0.0404244567963618,0.04954954954954955
1000M4,NJ (JC),R7,1017.0,0.2521475492673067,0.25925925925925924
1000M4,NJ (LogDet),R7,1017.0,0.2521475492673067,0.25925925925925924
1000M4,NJ (p-distance),R7,1017.0,0.2521475492673067,0.25925925925925924
1000M4,FastTree (GTR),R3,145.0,0.028498727735368958,0.04454454454454455
1000M4,FastTree (JC),R3,161.0,0.03256997455470738,0.04854854854854855
1000M4,NJ (JC),R3,1021.0,0.2513994910941476,0.26376376376376376
1000M4,NJ (LogDet),R3,1021.0,0.2513994910941476,0.26376376376376376
1000M4,NJ (p-distance),R3,1021.0,0.2513994910941476,0.26376376376376376
1000M4,FastTree (GTR),R9,115.0,0.022323693556570268,0.03553553553553553
1000M4,FastTree (JC),R9,121.0,0.023845763571790968,0.037037037037037035
1000M4,NJ (JC),R9,1061.0,0.26230339928970065,0.2722722722722723
1000M4,NJ (LogDet),R9,1061.0,0.26230339928970065,0.2722722722722723
1000M4,NJ (p-distance),R9,1061.0,0.26230339928970065,0.2722722722722723
1000M4,FastTree (GTR),R13,126.0,0.024873096446700507,0.03853853853853854
1000M4,FastTree (JC),R13,132.0,0.026395939086294416,0.04004004004004004
1000M4,NJ (JC),R13,1094.0,0.2705583756345178,0.2807807807807808
1000M4,NJ (LogDet),R13,1094.0,0.2705583756345178,0.2807807807807808
1000M4,NJ (p-distance),R13,1094.0,0.2705583756345178,0.2807807807807808
1000M4,FastTree (GTR),R19,130.0,0.027327935222672066,0.03803803803803804
1000M4,FastTree (JC),R19,136.0,0.028846153846153848,0.03953953953953954
1000M4,NJ (JC),R19,1014.0,0.25101214574898784,0.25925925925925924
1000M4,NJ (LogDet),R19,1014.0,0.25101214574898784,0.25925925925925924
1000M4,NJ (p-distance),R19,1014.0,0.25101214574898784,0.25925925925925924
1000M4,FastTree (GTR),R14,150.0,0.032388663967611336,0.043043043043043044
1000M4,FastTree (JC),R14,162.0,0.0354251012145749,0.04604604604604605
1000M4,NJ (JC),R14,1294.0,0.32186234817813764,0.32932932932932935
1000M4,NJ (LogDet),R14,1294.0,0.32186234817813764,0.32932932932932935
1000M4,NJ (p-distance),R14,1294.0,0.32186234817813764,0.32932932932932935
1000M4,FastTree (GTR),R4,120.0,0.023350253807106598,0.037037037037037035
1000M4,FastTree (JC),R4,126.0,0.024873096446700507,0.03853853853853854
1000M4,NJ (JC),R4,1300.0,0.32284263959390863,0.33233233233233234
1000M4,NJ (LogDet),R4,1300.0,0.32284263959390863,0.33233233233233234
1000M4,NJ (p-distance),R4,1300.0,0.32284263959390863,0.33233233233233234
